{'n_target': 20000, 'pi_target': 0.2, 'iter': 15, 'acc-pilot-test': 0.9133999943733215, 'acc-pilot-train': 0.9925500154495239, 'acc-rw-test': 0.9601500034332275, 'acc-rw-train': 0.9609500169754028, 'acc-ls-test': 0.9610000252723694, 'acc-ls-train': 0.9645500183105469, 'acc-oracle': 0.9517999887466431, 'gold-standard': 0.9729999899864197}
{'n_target': 1000, 'pi_target': 0.1, 'iter': 16, 'acc-pilot-test': 0.8659999966621399, 'acc-pilot-train': 0.995199978351593, 'acc-rw-test': 0.8960000276565552, 'acc-rw-train': 0.9746999740600586, 'acc-ls-test': 0.9509999752044678, 'acc-ls-train': 0.9370499849319458, 'acc-oracle': 0.9359999895095825, 'gold-standard': 0.9810000061988831}
{'n_target': 20000, 'pi_target': 0.4, 'iter': 17, 'acc-pilot-test': 0.9685999751091003, 'acc-pilot-train': 0.9959999918937683, 'acc-rw-test': 0.9704999923706055, 'acc-rw-train': 0.9936500191688538, 'acc-ls-test': 0.972599983215332, 'acc-ls-train': 0.9944000244140625, 'acc-oracle': 0.9719499945640564, 'gold-standard': 0.9729999899864197}
{'n_target': 1000, 'pi_target': 0.3, 'iter': 5, 'acc-pilot-test': 0.9660000205039978, 'acc-pilot-train': 0.9847000241279602, 'acc-rw-test': 0.968999981880188, 'acc-rw-train': 0.9908000230789185, 'acc-ls-test': 0.968999981880188, 'acc-ls-train': 0.9564499855041504, 'acc-oracle': 0.968999981880188, 'gold-standard': 0.9779999852180481}
{'n_target': 500, 'pi_target': 0.4, 'iter': 4, 'acc-pilot-test': 0.9760000109672546, 'acc-pilot-train': 0.9940500259399414, 'acc-rw-test': 0.9700000286102295, 'acc-rw-train': 0.9927499890327454, 'acc-ls-test': 0.9739999771118164, 'acc-ls-train': 0.9868000149726868, 'acc-oracle': 0.9760000109672546, 'gold-standard': 0.9700000286102295}
{'n_target': 5000, 'pi_target': 0.4, 'iter': 11, 'acc-pilot-test': 0.9674000144004822, 'acc-pilot-train': 0.9926000237464905, 'acc-rw-test': 0.965399980545044, 'acc-rw-train': 0.9850000143051147, 'acc-ls-test': 0.9660000205039978, 'acc-ls-train': 0.9839000105857849, 'acc-oracle': 0.9679999947547913, 'gold-standard': 0.9729999899864197}
{'n_target': 1000, 'pi_target': 0.3, 'iter': 6, 'acc-pilot-test': 0.9620000123977661, 'acc-pilot-train': 0.9940999746322632, 'acc-rw-test': 0.972000002861023, 'acc-rw-train': 0.9851999878883362, 'acc-ls-test': 0.9679999947547913, 'acc-ls-train': 0.9785000085830688, 'acc-oracle': 0.9679999947547913, 'gold-standard': 0.9760000109672546}
{'n_target': 10000, 'pi_target': 0.5, 'iter': 10, 'acc-pilot-test': 0.9696000218391418, 'acc-pilot-train': 0.9880499839782715, 'acc-rw-test': 0.9697999954223633, 'acc-rw-train': 0.9870499968528748, 'acc-ls-test': 0.9696000218391418, 'acc-ls-train': 0.98785001039505, 'acc-oracle': 0.9696000218391418, 'gold-standard': 0.9649999737739563}
{'n_target': 10000, 'pi_target': 0.1, 'iter': 11, 'acc-pilot-test': 0.9254999756813049, 'acc-pilot-train': 0.991599977016449, 'acc-rw-test': 0.965499997138977, 'acc-rw-train': 0.880649983882904, 'acc-ls-test': 0.9692999720573425, 'acc-ls-train': 0.8370000123977661, 'acc-oracle': 0.964900016784668, 'gold-standard': 0.9739999771118164}
{'n_target': 20000, 'pi_target': 0.3, 'iter': 11, 'acc-pilot-test': 0.9682000279426575, 'acc-pilot-train': 0.9964500069618225, 'acc-rw-test': 0.9736499786376953, 'acc-rw-train': 0.9871500134468079, 'acc-ls-test': 0.9746999740600586, 'acc-ls-train': 0.9870499968528748, 'acc-oracle': 0.9739500284194946, 'gold-standard': 0.9800000190734863}
{'n_target': 500, 'pi_target': 0.4, 'iter': 7, 'acc-pilot-test': 0.972000002861023, 'acc-pilot-train': 0.9889500141143799, 'acc-rw-test': 0.9700000286102295, 'acc-rw-train': 0.9924499988555908, 'acc-ls-test': 0.972000002861023, 'acc-ls-train': 0.9797499775886536, 'acc-oracle': 0.9760000109672546, 'gold-standard': 0.9769999980926514}
{'n_target': 10000, 'pi_target': 0.5, 'iter': 8, 'acc-pilot-test': 0.972000002861023, 'acc-pilot-train': 0.9909499883651733, 'acc-rw-test': 0.9689000248908997, 'acc-rw-train': 0.9905999898910522, 'acc-ls-test': 0.972000002861023, 'acc-ls-train': 0.9909499883651733, 'acc-oracle': 0.972000002861023, 'gold-standard': 0.9779999852180481}
{'n_target': 10000, 'pi_target': 0.4, 'iter': 16, 'acc-pilot-test': 0.9671000242233276, 'acc-pilot-train': 0.9915500283241272, 'acc-rw-test': 0.9739000201225281, 'acc-rw-train': 0.9890999794006348, 'acc-ls-test': 0.972100019454956, 'acc-ls-train': 0.9904999732971191, 'acc-oracle': 0.9702000021934509, 'gold-standard': 0.9649999737739563}
{'n_target': 10000, 'pi_target': 0.3, 'iter': 7, 'acc-pilot-test': 0.9685999751091003, 'acc-pilot-train': 0.996399998664856, 'acc-rw-test': 0.9695000052452087, 'acc-rw-train': 0.9817000031471252, 'acc-ls-test': 0.9746000170707703, 'acc-ls-train': 0.9875500202178955, 'acc-oracle': 0.9735000133514404, 'gold-standard': 0.9710000157356262}
{'n_target': 20000, 'pi_target': 0.4, 'iter': 19, 'acc-pilot-test': 0.9702000021934509, 'acc-pilot-train': 0.9904000163078308, 'acc-rw-test': 0.9664499759674072, 'acc-rw-train': 0.9876999855041504, 'acc-ls-test': 0.9712499976158142, 'acc-ls-train': 0.986299991607666, 'acc-oracle': 0.9710500240325928, 'gold-standard': 0.9760000109672546}
{'n_target': 10000, 'pi_target': 0.1, 'iter': 5, 'acc-pilot-test': 0.8471999764442444, 'acc-pilot-train': 0.9933000206947327, 'acc-rw-test': 0.9358000159263611, 'acc-rw-train': 0.967199981212616, 'acc-ls-test': 0.9383000135421753, 'acc-ls-train': 0.8835499882698059, 'acc-oracle': 0.9204999804496765, 'gold-standard': 0.9760000109672546}
{'n_target': 10000, 'pi_target': 0.1, 'iter': 6, 'acc-pilot-test': 0.916700005531311, 'acc-pilot-train': 0.9937999844551086, 'acc-rw-test': 0.9386000037193298, 'acc-rw-train': 0.9535999894142151, 'acc-ls-test': 0.9631999731063843, 'acc-ls-train': 0.8841500282287598, 'acc-oracle': 0.9562000036239624, 'gold-standard': 0.9829999804496765}
{'n_target': 500, 'pi_target': 0.3, 'iter': 18, 'acc-pilot-test': 0.9700000286102295, 'acc-pilot-train': 0.9879999756813049, 'acc-rw-test': 0.9620000123977661, 'acc-rw-train': 0.9710999727249146, 'acc-ls-test': 0.972000002861023, 'acc-ls-train': 0.9617000222206116, 'acc-oracle': 0.972000002861023, 'gold-standard': 0.9679999947547913}
{'n_target': 10000, 'pi_target': 0.3, 'iter': 1, 'acc-pilot-test': 0.9670000076293945, 'acc-pilot-train': 0.9952999949455261, 'acc-rw-test': 0.9629999995231628, 'acc-rw-train': 0.9927999973297119, 'acc-ls-test': 0.9728000164031982, 'acc-ls-train': 0.98294997215271, 'acc-oracle': 0.973800003528595, 'gold-standard': 0.9710000157356262}
