{'n_target': 20000, 'pi_target': 0.2, 'iter': 15, 'acc-pilot-test': 0.9575499892234802, 'acc-pilot-train': 0.9969000220298767, 'acc-rw-test': 0.955049991607666, 'acc-rw-train': 0.9954500198364258, 'acc-ls-test': 0.9648000001907349, 'acc-ls-train': 0.9908000230789185, 'gold-standard': 0.978600025177002}
{'n_target': 1000, 'pi_target': 0.1, 'iter': 16, 'acc-pilot-test': 0.8960000276565552, 'acc-pilot-train': 0.9988499879837036, 'acc-rw-test': 0.902999997138977, 'acc-rw-train': 0.9937999844551086, 'acc-ls-test': 0.9490000009536743, 'acc-ls-train': 0.9780499935150146, 'gold-standard': 0.902400016784668}
{'n_target': 20000, 'pi_target': 0.4, 'iter': 17, 'acc-pilot-test': 0.9691500067710876, 'acc-pilot-train': 0.9976500272750854, 'acc-rw-test': 0.9743499755859375, 'acc-rw-train': 0.9943000078201294, 'acc-ls-test': 0.9782500267028809, 'acc-ls-train': 0.9962999820709229, 'gold-standard': 0.9739999771118164}
{'n_target': 1000, 'pi_target': 0.3, 'iter': 5, 'acc-pilot-test': 0.9670000076293945, 'acc-pilot-train': 0.9955999851226807, 'acc-rw-test': 0.9779999852180481, 'acc-rw-train': 0.9940000176429749, 'acc-ls-test': 0.9760000109672546, 'acc-ls-train': 0.9937499761581421, 'gold-standard': 0.8605999946594238}
{'n_target': 5000, 'pi_target': 0.4, 'iter': 11, 'acc-pilot-test': 0.97079998254776, 'acc-pilot-train': 0.9947500228881836, 'acc-rw-test': 0.9718000292778015, 'acc-rw-train': 0.9975500106811523, 'acc-ls-test': 0.9783999919891357, 'acc-ls-train': 0.9979000091552734, 'gold-standard': 0.923799991607666}
{'n_target': 1000, 'pi_target': 0.3, 'iter': 6, 'acc-pilot-test': 0.9570000171661377, 'acc-pilot-train': 0.9957500100135803, 'acc-rw-test': 0.9409999847412109, 'acc-rw-train': 0.9936000108718872, 'acc-ls-test': 0.9779999852180481, 'acc-ls-train': 0.9919499754905701, 'gold-standard': 0.8528000116348267}
{'n_target': 10000, 'pi_target': 0.5, 'iter': 10, 'acc-pilot-test': 0.9739000201225281, 'acc-pilot-train': 0.9969000220298767, 'acc-rw-test': 0.9782000184059143, 'acc-rw-train': 0.9952999949455261, 'acc-ls-test': 0.9771999716758728, 'acc-ls-train': 0.9987999796867371, 'gold-standard': 0.9559999704360962}
{'n_target': 10000, 'pi_target': 0.1, 'iter': 11, 'acc-pilot-test': 0.8395000100135803, 'acc-pilot-train': 0.9975000023841858, 'acc-rw-test': 0.9419999718666077, 'acc-rw-train': 0.9930999875068665, 'acc-ls-test': 0.9596999883651733, 'acc-ls-train': 0.9878000020980835, 'gold-standard': 0.9697999954223633}
{'n_target': 20000, 'pi_target': 0.3, 'iter': 11, 'acc-pilot-test': 0.9549499750137329, 'acc-pilot-train': 0.9966999888420105, 'acc-rw-test': 0.9605000019073486, 'acc-rw-train': 0.996150016784668, 'acc-ls-test': 0.9700000286102295, 'acc-ls-train': 0.9953500032424927, 'gold-standard': 0.9729999899864197}
{'n_target': 10000, 'pi_target': 0.5, 'iter': 8, 'acc-pilot-test': 0.9749000072479248, 'acc-pilot-train': 0.9986500144004822, 'acc-rw-test': 0.9710000157356262, 'acc-rw-train': 0.9932500123977661, 'acc-ls-test': 0.9711999893188477, 'acc-ls-train': 0.9956499934196472, 'gold-standard': 0.9575999975204468}
{'n_target': 10000, 'pi_target': 0.4, 'iter': 16, 'acc-pilot-test': 0.9707000255584717, 'acc-pilot-train': 0.9962999820709229, 'acc-rw-test': 0.974399983882904, 'acc-rw-train': 0.996749997138977, 'acc-ls-test': 0.9735000133514404, 'acc-ls-train': 0.9944000244140625, 'gold-standard': 0.9593999981880188}
